종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"108320","LX세미콘","KOSPI","전기·전자","50600","-200","-0.39","822973580000"
"001120","LX인터내셔널","KOSPI","유통","32800","300","0.92","1271328000000"
"108670","LX하우시스","KOSPI","화학","29450","50","0.17","264097881500"
"108675","LX하우시스우","KOSPI","화학","17360","-40","-0.23","17921248800"
"383800","LX홀딩스","KOSPI","기타금융","8200","30","0.37","625501658000"
"38380K","LX홀딩스1우","KOSPI","기타금융","8980","-160","-1.75","13158259300"
"023150","MH에탄올","KOSPI","음식료·담배","5000","-50","-0.99","36892630000"
"035420","NAVER","KOSPI","IT 서비스","237000","-1000","-0.42","37174075206000"
"181710","NHN","KOSPI","IT 서비스","29850","400","1.36","977681199150"
"400760","NH올원리츠","KOSPI","부동산","3515","5","0.14","193076401625"
"005940","NH투자증권","KOSPI","증권","21350","100","0.47","7607952278150"
"005945","NH투자증권우","KOSPI","증권","19500","90","0.46","367983876000"
"338100","NH프라임리츠","KOSPI","부동산","4460","-10","-0.22","83223600000"
"034310","NICE","KOSPI","일반서비스","13900","180","1.31","510924482300"
"030190","NICE평가정보","KOSPI","IT 서비스","17310","-40","-0.23","1019758532370"
"008260","NI스틸","KOSPI","금속","3595","-85","-2.31","102817420615"
"004250","NPC","KOSPI","화학","3860","-70","-1.78","141739200000"
"004255","NPC우","KOSPI","화학","2565","-15","-0.58","13543200000"
"456040","OCI","KOSPI","화학","61800","-200","-0.32","553264191000"
"010060","OCI홀딩스","KOSPI","기타금융","121900","7100","6.18","2275901280800"
"178920","PI첨단소재","KOSPI","화학","16010","-140","-0.87","470154815220"
"001340","PKC","KOSPI","화학","5820","-80","-1.36","261425128740"
"005490","POSCO홀딩스","KOSPI","금속","304000","-1000","-0.33","24603617408000"
"010950","S-Oil","KOSPI","화학","84000","0","0.00","9456954528000"
"010955","S-Oil우","KOSPI","화학","48550","-150","-0.31","195264555850"
"034120","SBS","KOSPI","오락·문화","19010","-60","-0.31","352659034380"
"003080","SB성보","KOSPI","화학","2900","80","2.84","58058000000"
"005090","SGC에너지","KOSPI","전기·가스","23650","0","0.00","340780725450"
"001380","SG글로벌","KOSPI","운송장비·부품","1872","-27","-1.42","84172875696"
"004060","SG세계물산","KOSPI","유통","335","-9","-2.62","67812361600"
"001770","SHD","KOSPI","금속","18220","90","0.50","22135077160"
"002360","SH에너지화학","KOSPI","화학","389","-5","-1.27","43231020970"
"009160","SIMPAC","KOSPI","금속","5590","-70","-1.24","365750994440"
"033530","SJG세종","KOSPI","운송장비·부품","10480","370","3.66","291563671280"
"123700","SJM","KOSPI","운송장비·부품","3920","-80","-2.00","61171200160"
"025530","SJM홀딩스","KOSPI","유통","3935","25","0.64","58765321480"
